Song	Artist	Lyrics
Sweet Dream	MFBTY	
Day by Day	T-ARA	""
Vi-Vi-Vi	Sug	"Hey wake up in morning Welcome to the greed stained modern society\Switch ON A sharp weapon for the sake of protecting the "ordinary" I'm a persistant knight!\Hey wake up in the morning\That's too bad\Are you only flashy without a necktie?\Switch OFF a tiny tiny depression\I'm beaten by weakness and againa dark cry\My Heart creaks in my chest\My piercings only increase in the number of wounds\The times when my heart is bent "Why is it only me?"\Baby Don't Cry! Vi-Vi-Vi\Let's live with an increasing sensitivity\The dreams we haven't met yet Be more enthusiastic about them and go dowsing\Hey All right? Let me hear you Also at the time when you can't meet me\At our favourite place When you really feel hurt\I'll Stand by you\Show courage and step forward also with one weak leg we'll do it together!\Because I will become your number one\Without unlocking our hands let's go Yey\Already give up in boring I gave up The meaning of trying your best is an auction exhibit\Destroy that switch Self-abandonment - A hikikomori & drinking and eating too much\My heart disorts my chest Running away is a persecution complex\The times when I ask my heart "Why must it be me?"\Baby Don't Cry! Vi-Vi-Vi It's dramatic like a despair\Like so painful a journey Laugh like you didn't deserve it\Hey All right? I make you say it Also when I tell you byebye soon\At our favourite place I want to feel like I want to meet you\Stand by you...\Show courage and step forward also with one leg we'll do it together!\Because I will become your number one\Without unlocking our hearts let's go Yey"
Discovering the Waterfront	Silverstein	"I will promise myself I won't care\Distracting myself from your stare\And I've seen this mistake once before\With your games I will never fall for\\I've hung up my guns\I won't kill again\\I won't forget you\I'm not gonna let you win\But I'm tired of lying\Tired of fighting you\And it's not going to change\\You asked for my heart\You know that I'm down\But not the way you lie to me and tear it all apart\And beg for me to stay\\I've sailed off to sea\I'm not coming back\\Counting down\Make that sound\And you know it makes no sense\Counting down\‘Til you mess around\And I know you can't ever change\When I'm trembling\Thrown overboard\And I'm ready to relive the past\Counting down\Make that sound\Break the silence\Pretend it's not forever\I'll pull myself together\I'll say that I'll forget her\I'll breathe\And I'll say she never hurt me\And look at it as learning\And laugh about the good and the bad\Because I won't live forever\We don't belong together\I know I'll feel better\One day when I can make it through\ x2"
Hyperballad	Robyn	
4:00AM	Luna Sea	
ないものねだり	KANA-BOON	
Мост	Buhar Jerreau	""
As If in a Dream	L'Arc~en~Ciel	""
The Blossoming Beelzebub	DIR EN GREY	""
Coelacanth (Cover)	BACKSLASH/Mari/Acca/Rimi/Cola	
心の色	Acid Black Cherry	
썸씽	Girl's Day	
Birthday Eve	倖田來未	
Palette (Cover)	エミ	
Good-bye days	YUI	"So I'm going to go see you right now, that's what I've decided\I want to have you listen to this song, that I have in my pocket\\Quietly, I turned up the volume, to make sure that it was there\\Oh good-bye days, right now I've got the feeling that things are going to change; so long to everything up until yesterday\An uncool kindness is at my side\~With you\\I pass one ear phone over to you\And this moment slowly streams over to you\\Can you really love me? Even though I sometimes lose my way\\Oh good-bye days, right now things inside my heart have begun to change, alright\An uncool kindness is at my side\~With you\\If possible, I'd like to not have sad feelings\But they'll come to me, won't they?\In those times, it would be good, if only I could say\"Yeah, hello! My friend", with a smile\\When we both are humming the same song, I wish for you to be by my side\I'm glad that we were able to meet each other, with such an uncool kindness\\... Good-bye days"
So	Typhoon	
tentation	Moi dix Mois	""
オデッセイ・1985・SEX	MERRY	
Girls (Cover)	Maria	
Good Intentions Paving Company	Joanna Newsom	"Twenty miles left to the show\Hello, my old country, Hello\Stars are just beginning to appear\And I have never, in my life\Before been here\And it's my heart, not me\Who cannot drive\At which conclusion you arrived\Watching me sit here, bolt upright\And cry for no good reason\At the Eastering sky\And the tilt of this strange nation\And the will to remain for the duration\(waving the flag\Feeling it drag)\Like a bump on a bump on a log, baby;\Like I'm in a fistfight with the fog, baby;\Step, ball-change, and a pirouette!\And I regret\How I said to you\Honey, just open your heart\When I've got trouble\Even opening a honey jar\And that, right there, is where we are\I've been fessing, double-fast\Addressing questions nobody asked\I'll get this joy off of my chest, at last\And I will love you\Till the noise has long since passed\And I did not mean to shout. Just drive\Just get us out, dead or alive\The road's too long to mention--\Lord, it's something to see!--\Laid down by the\Good Intentions Paving Company\All the way to the thing\We've been playing at, darling\I can see that you're wearing\Your staying-hat, darling\For the time being, all is well\Won't you love me a spell?\This is blindness beyond all conceiving\While, behind us, the road is leaving\And leaving, and falling back\Like a rope gone slack\Well, I saw straightaway\That the lay was steep\But I fell for you, honey\Easy as falling asleep\And that, right there\Is the course I keep\And no amount of talking\Is going to soften the fall\But, like after the rain\Step out of the overhang. That's all\It had a nice ring to it\When the old opry house rang\So, with a solemn auld lang\Syne, sealed, delivered\I sang\And there is hesitation\And it always remains\(concerning you, me\And the rest of the gang)\And in our quiet hour\I feel I see everything\And am in love\With the hook\Upon which everyone hangs\And I know you meant\To show the extent\To which you gave a goddang--\You ranged real hot and real cold\But I'm sold\I am at home on that range\And I do hate to fold\Right here, at the top of my game\When I've been trying\With my whole heart and soul\To stay right here, in the right lane\But it can make you feel over, and old\(Lord, you know it's a shame)\When I only want for you to pull over\And hold me\Till I can't remember my own name"
소년이여	G-Dragon	
Lotus	DIR EN GREY	"I close my eyes\Here is the bottom of my heart where the blue ibis cries\Since I want to sense the tomorrow taken away by the storm\To this peeling rotten image\ \From memories, tears I can't yet erase\And this sound of darkness too\I certainly won't be able to recover that too\Knowing that somewhere\ \From memories tears are still falling\Looking over my surroundings\Certainly, no longer there for\Anyone's sake now... alone\ \Even if the wound that won't vanish, isn't it pretty?\Even if the dream withers, will you still be able to love?\Surely the morrow is not in glitters\The seemingly crumbling purpose\Is not a wound to reminisce\ \From memories, tears I can't yet erase\And this sound of darkness too\I certainly won't be able to recover\Knowing somewhere\ \The breaking night, in front of my eyes\You who threw something away is a moon\Cry and go to sleep\ \Errors don't change the way of life\Make the noble pure-white lotus bloom\You can't shake off the purpose that's drawn on the back now\Let's close out eyes to the free sky\What is believing?"
Mothers of Men	Coheed and Cambria	"In this space where nothing will seem too right\Our voice unheard in this quiet fight\This march we lead will breed our song\To them we're nothing, to them we're pawns\Oh, a desperate play to feel like we belong\Now, as we take up into the streets, remember\I depend on you as much as you on me\Don't try to fake it, let's not pretend\We made you mothers, we made you men\We made you mothers, we made you men\\Oh, it's no surprise, nobody listens anymore\To what we're saying, to what was said\And in your absence we promised you\"We'll behave, oh, we'll behave"\So just keep running\Everything will look better once you look away\Cause what's the difference?, oh, is there a difference we make?\\(Your day will come...)\The rain starts dancing across our backs\These ardent words seize this heart attack\Belief still strong, we can make this change\The stage is set to occupy the brain\This stage is, we made this, we made this...\We made it!\\Oh, it's no surprise, nobody listens anymore\To what we're saying, to what was said (To what we're saying...)\And in your absence we promised you\"We'll behave, oh, we'll behave" (We misbehaved...)\So just keep running\Everything will look better once you look away\Cause what's the difference, oh, is there a difference we make?\\Between a dapper villain in a Sunday serial at the podium\Or another cog in the wheel\Just another cog in the wheel\They're both capable of making life hard\No bandage can mend all these parts\So why do I give?\\Between, between, between\Between, between, between\Between, between, between\\Oh, it's no surprise, nobody listens anymore\To what we're saying, to what was said (To what we're saying...)\And in your absence we promised you\"We'll behave, oh, we'll behave" (We misbehaved...)\So just keep running\Everything will look better once you look away\Cause what's the difference, oh, what's the difference\\In making life hard?\No bandage can mend all these parts\So why do I live with this?\No difference...\(Dyer: "Good night.")"
The Afterman	Coheed and Cambria	"She gave her heart to a falling star\When news filtered through of his tragedy\All the walls went up\Around a world, she declines\As the tears from her eyes fall\No one understands and no one will\All she has lost\\If he's not here, then where?\If he's not here, then where?\If he's not here, then where?\If he's not here, then where?\\When she found it, there\In the cold, blue glare\The words distressed and unfamiliar\Where the feelings seared\An emptiness had hung\And in her chest, she clenched\Reality settled as the memories raced\While on the screen, he lived\\She teared; "Your selfishness has robbed you\Of the man you could've been\I wouldn't change a thing about you\I love you dearly, my friend"\\If he's not here, then where?\If he's not here, then where?\My love, been searching for my Afterman\If he's not here, then where?\If he's not here, then where?\My love, been searching for my Afterman"
Anemone	L'Arc~en~Ciel	""
Back to Black	Amy Winehouse	"He left no time to regret\Kept his dick wet\With his same old safe bet\Me and my head high\And my tears dry\Get on without my guy\You went back to what you knew\So far removed\From all that we went through\And I tread my troubled track\My odds are stacked\I'll go back to black...\\We only said goodbye with words\I died a hundred times\You go back to her and I go back to\I go back to us\\I loved you much;\It's not enough\You love blow\And I love puff\And life, is like a pipe\And I'm a tiny penny rollin'\Up the walls inside\\We only said goodbye with words\I died a hundred times\You go back to her and I go back to\We only said goodbye with words\I died a hundred times\You go back to her and I go back to\\Black, black, black, black\Black, black, black\I go back to\I go back to\\We only said goodbye with words\I died a hundred times\You go back to her and I go back to\We only said goodbye with words\I died a hundred times\You go back to her and I go back to black"
Dybbuk	GACKT	""
Let Me Go ! - feat. Sophie Hunger	Erik Truffaz Quartet	
我不願讓你一個人	五月天	"What do you think? Even though you’re not here, I still ask.\The air, however, can’t answer for you.\It’s a habit. Like the stubborn wound that won’t heal.\When I long for you, my soul splinters.\I make an extra of the photo for you to keep.\And also prepare an extra layer of sweaters for you.\But when you’re lonely, the comforting body warmth,\How do I leave an extra set behind?\I don’t want you to be alone, just one person buried in the crowd.\I don’t want you to walk by yourself through the wind and the rain.\I don’t want you to bear the cruelties of the world by yourself.\I don’t want tears to always keep you company.\After you left, the impressions of love are like an empty city.\Leaving behind your cup, glove, and laughter.\In the end, you took away your fragility and innocence,\And the person I think about the most.\Maybe in the future, you’ll find someone better who understands you and cares for you.\The next part of the journey, you must be happy and fulfilled.\I don’t want you to be alone, just one person buried in the crowd.\I don’t want you to walk by yourself through the wind and the rain.\I don’t want you to bear the cruelties of the world by yourself.\I don’t want tears to always keep you company.\What do you say? Even though you’re not here, I still ask.\It’s only because I’m used to your satisfied expression.\Only, I have a last wish that I can make.\I only wish for you to have a happy life.\I only wish fate will take you on a brand new journey,\Flying towards happiness.\Don’t turn back, just fly forward.\Please forget that I’m still alone."
again	YUI	""
I Burn ft. CDanielART (Extended Version)	Jeff Williams	
Somebody To Love	ClubSoda	
Doom Dada	T.O.P	"Long time no see, long time no see\\간질간질해. 어린 애들은 가 구석에\나 그대의 테이스트를 바꿔주는 소믈리에\뜨끈뜨끈할 때 후후 불어 함께\옛다 던져줄 때 감사하며 고개 숙여 만세\Hey, mister and sister\나 타-타-탑, 진짜가 나가신다\뜨끈뜨끈할 때 후후 잘 불어. 나 랩할 때\너무 핫해. 얼마 안 됐어. 이 탄내 어떡할래?\잠재된 세포가 흐르는 자여, 최후의 무기를 본 적 있나요?\잠자는 영혼의 가녀린 고막에 가시를 찌르니 활활 타요\잠재된 세포가 흐르는 자여, 가시를 찌르니 활활 타요\Oh, God, God, God, God. 고막을 씻기는 샤워\\멈추지 않는 뜨거운 영혼\저 넓은 터전에서 우리 같이 춤춰요\멈추지 않는 뜨거운 영혼 (Let’s go)\\Doom da da divi da da\Doom da da divi da da\Doom da da divi da da doom (행진!)\Doom da da divi da da\Doom da da divi da da\Doom da da divi da da doom\\난 21세기 범상치 않은 Korean\마이크를 쥔 신들린 랩 바스키아\오랜만에 입을 푼다. 난 한 곡이면 끝나\널 미치게 하지만 나는 맑은 삐노 누아르\뼈가 녹아도 나 좋아. 광란의 끝장을 봐요\다 그대로, 이대로. 또 새로운 세상을 봐요\복잡한 세상에 시끄런 소리들 총알 넣고 탕탕탕!\거친 숨 학학 내쉬고 doom da da divi da\가나다라마바사아자차카타파 하늘이 보우하사\우주 위를 보고 듣는 느낌. 난 겁없는 몽상가\도망가, 안 도망가. 너희 지금 물 만났어\God, God, God, God. 고막을 씻기는 샤워\\\매스미디어, 침착하고 새 영감을 감당해\Doom da da divi da. 나 명상으로 제3세계를 관찰해\신이 주신 인류의 힘. 더 눈부신 문명의 win\Doom da da divi da. 새 생명에 푸른 빛이 비추길\돌아, 돌아, 돌고 돌아. 거꾸로만 돌아, 돌아. 입만 살은 인간들의 목소리만 겉돌아\몰아, 몰아, 몰고 몰아. 지글지글, 모락모락. 과열이 된 미디어가 사람들을 몰아\하쿠나 마타타, 하쿠나 마타타\Doom da da divi da. 새 생명에 푸른 빛이 비추길"
All Dead (Guitar Cover)	hha1993	
MaGic in youR Eyes	Tommy february6	
Once Upon Your Dead Body	Coheed and Cambria	"If hello could only drop its 'O'\And it stayed in the front door's way\Of your home, would you live there still?\Could that make you everything I hate?\Wait...\\Do you remember why you did it? (No, I don't)\Do you remember why she left?\\No, I hope you die, right now\Will you drink my chemical?\\Is there price to burn this paradise?\Where you left all parts that hurt to mend\If I don't stay awake, will she come here again\For my wish of only one last kiss?\\Do you remember why you did it? (No, I don't)\Do you remember why she left?\(Unless you did what you thought would be friend)\Do you remember why you did it?\Do you remember why she left?\\No, I hope you die, right now\Will you drink my chemical?\Oh, and if you cry out loud\It'll only make me feel too good\Whoa, I hope you die, right now\Will you drink my chemical?\Oh, and if you cry out loud\It'll only make me feel too good\Oh, I hope you die, right now\Will you drink my chemical?\Oh, and if you cry out loud\It'll only make me feel too good\\(Once upon your, once upon your)\I hope you die, right now\(Once upon your dead body)\It'll only make me feel too good\(Once upon your, once upon your)\I hope you die, right now\(Once upon your dead body)\It'll only make me feel too good\(Once upon your, once upon your)\I hope you die, right now\(Once upon your dead body)\It'll only make me feel too good\(Once upon your, once upon your)\I hope you die, right now\(Once upon your dead body)\I hope you die, right now"
バビロン (Cover)	俊	
one summer night (ft. tasha)	Drunken Tiger	
Trollcops (Cover)	Horizon	
Forget You (Clean)	CeeLo Green	
エレクトロ・ワールド	Perfume	
Pieces [ark mix]	L'Arc~en~Ciel	
Fare Well	L'Arc~en~Ciel	"No matter how far and winding the road is,\I walked barefooted.\\Even ignoring the coldness of tomorrow,\I can't find you anywhere...\\I couldn't say it precisely,\but I've always longed for you.\\Ah, it's confusing. Even with the wind blowing softly,\You kept your distance, and that despaired me forever.\\I reached out to you with nothing in my hand.\\Ah, like a powerful bird cruising through the sky\I wonder if the time will come when you can love me..."
Mister (Cover)	Zessei Bijin!	
Bad Boy	Bigbang	""
Cocoon	Björk	"Who would have known\That a boy like him\Would have entered me lightly\Restoring my blisses?\Who would have known\That a boy like him\After sharing my core\Would stay going nowhere?\\Who would have known\A beauty this immense?\Who would have known\A saintly trance?\Who would have known\Miraculous breath?\To inhale a beard\Loaded with courage\\Who would have known\That a boy like him\Possessed of magical\Sensitivity?\Who would approach a girl like me\Who caresses cradles his head\In her bosom?\He slides inside\Half awake, half asleep\We faint back\Into sleephood\When I wake up\The second time\In his arms\Gorgeousness\He's still inside me\\Who would have known?\Who, who would have known?\A train of pearls\Cabin by cabin\Is shot precisely\Across an ocean\\From a mouth\From a\From the mouth\Of a girl like me\To a boy\To a boy\To a boy"
makka na ito	Plastic Tree	
PONPONPON	きゃりーぱみゅぱみゅ	
Dancer in the Dark	巡音ルカ	
Promise	Yeng Constantino	"Since this is what you wanted\Then I'll just walk away\You'll have your time to think of all the things and what you need\While I'm gone and away\Is this really what you wanted\Then I will let you go\I'll be keeping all my fears\Though I'm drowning in my tears\With a thought\Of a life without you\(Chorus:)\But if someday you'll need a friend\I promise I won't let you down\I'll be there for you\Right there beside you\I promise\Is this really what you needed?\Then I will say goodbye\All the memories that we've shared\Will be running in my head\I'll be thinking about you\Just thinking about you\(Repeat Chorus)\(Bridge:)\Coz if one day things don't feel so right\I am someone you can call\If you feel you've no one to turn to I'm here\Coz if this is what you needed\I won't let you see me cry\And all my sleepless nights\I'll be waiting for your call\I'll be dreaming about you\Just dreaming about you\(Repeat Chorus 2x)"
Crazy's crew	The Fool	
HONEY	L'Arc~en~Ciel	" I watched it all the time\Ever since I was young, so long ago\Even now the faded scenery\Adorns my plain white wall\\Entangled with the dry wind\It takes you away with it\Honey so sweet, grasping\At my boundless dream with both hands\\Rolling along on the road\I was just a little bit out of control\I can't take away the deep pain\But don't look so sad\\Entangled with the dry wind\It takes you away with it\Honey so sweet, I want you to believe\Even if this world is a lie\\I want to fly, waitin' for sunrise oh...\\Anytime, all the time\I want to be melting in your sweet, sweet smile\\Destiny grabs me\"Here" is becoming blurred, but\Don't despair you can hear it\That place is calling\\Entangled in the dry wind\It takes you away with it\Honey so sweet, grasping\At my boundless dreams with both hands\\I want to fly, waitin' for sunrise\\I want to fly, waitin' for sunrise"
我不願讓你一個人 (Cover)	Kien Seng Swee	"What do you think? Even though you’re not here, I still ask.\The air, however, can’t answer for you.\It’s a habit. Like the stubborn wound that won’t heal.\When I long for you, my soul splinters.\I make an extra of the photo for you to keep.\And also prepare an extra layer of sweaters for you.\But when you’re lonely, the comforting body warmth,\How do I leave an extra set behind?\I don’t want you to be alone, just one person buried in the crowd.\I don’t want you to walk by yourself through the wind and the rain.\I don’t want you to bear the cruelties of the world by yourself.\I don’t want tears to always keep you company.\After you left, the impressions of love are like an empty city.\Leaving behind your cup, glove, and laughter.\In the end, you took away your fragility and innocence,\And the person I think about the most.\Maybe in the future, you’ll find someone better who understands you and cares for you.\The next part of the journey, you must be happy and fulfilled.\I don’t want you to be alone, just one person buried in the crowd.\I don’t want you to walk by yourself through the wind and the rain.\I don’t want you to bear the cruelties of the world by yourself.\I don’t want tears to always keep you company.\What do you say? Even though you’re not here, I still ask.\It’s only because I’m used to your satisfied expression.\Only, I have a last wish that I can make.\I only wish for you to have a happy life.\I only wish fate will take you on a brand new journey,\Flying towards happiness.\Don’t turn back, just fly forward.\Please forget that I’m still alone."
星空	五月天	"The color that we cannot touch, is it called a rainbow?\The embrace that we cannot see, is it called the wind?\One person missing another, is that loneliness?\Fate stole away the ifs, leaving only conclusions.\Time stole away the beginning, leaving only the bitterness.\You came, and then you left, leaving only the starry night.\The starry night that we looked at together in the past, so many brilliant dreams.\I thought happiness would be forever, like the starry night, always with me.\Orion, Sirius, Vega, all silent lightyears away.\Memories, youth, dreams, when did they silently fall?\I’ve loved, then I fell silent, floating in the crowd.\The starry night that we looked at together in the past, we never thought about the future.\When stories lose the beautiful dreams, when the dreams lose the threat, and we lost touch.\This silent starry night, why does it watch my tears fall?\If you were here, would you lift your arms and embrace me?\Count the countless stars, count the obstacles in our lives.\It turns out everything, all we have, all we’ve won, aren’t even worth a starry night.\The warmth in the air, remembering your smile.\It’s like I can touch you if I just reach out my hand.\The color that we cannot touch, is it called a rainbow?\The embrace that we cannot see, is it called the wind?\One person, used to being alone.\This moment, I watch the starry night alone. The past hasn’t changed.\Loneliness can be endured or it can be enjoyed, enjoy what I have.\The starry night that we looked at together in the past, so many brilliant dreams.\At least memories are forever, like the unchanging starry night, accompanying me.\In the end, there’s only the starry night, like the unchanging memories, accompanying me."
Game	ムック	
Земляне	Buhar Jerreau	
波紋	ViViD	
Monster	Bigbang	""
Jelly	Capsule	
我不願讓你一個人 (Cover)	高豪力	
LEECH	the GazettE	""
Cruel Arcadia	Közi	
Love	Cinemaglam	
Just Be Friends	巡音ルカ	
L's Theme B	Death Note	
サリシノハラ (Acoustic Cover)	りょ子	
HEAVEN'S DRIVE	L'Arc~en~Ciel	"\ They're still not satisfied, are they?\Just what will they want next?\With their mouths unaware of their sin\They just seem to eat me down to the bone leave me alone!\\Tracing my wounds,\I kinda like my gasping voice\Being toyed with by the snake through that lens\I feel like a prisoner!\\Speed up until we're gonna break, take me away!\Light a fire in the world\ride on heaven's drive\Steal tomorrow and spend the night laughing\Ride that brand new ark!\\My body is still being poisoned\ah... I'm the devil's captive\This nightmare swells up more than it can bear\It's gone out of control!\\Longing for that dazzling ray of sun\To the point of blowing everything off\ride on heaven's drive\Before I'm punished by my fellow traveller\I wanna search for the light everywhere with you\On that brand new ark\...whatever you think of this, just go towards it!\anyway the world is born again\\Speed up until we're gonna break, take me away!\Light a fire in the world\ride on heaven's drive\Steal tomorrow and spend the night laughing\Ride that brand new ark!\ride on heaven\Grab the key and let's get outta here!\Ride that ark!\Ride it!"
VS	misono	"KICK OUT, BREAK OUT\Come on and stand up! Get on up!\I WONT GIVE UP, ’cause I’m the only one who can\decide – on how – high my limits are! So shut up\when I say I can keep it up, GOING NOW!!\\You can’t possibly understand how I’m feeling. Something like that,\and then see as I go build up a wall to block everything out.\I’m even starting to lose faith in me, but What’s with me? Should I\RETIRE?\\The outcome is – determined by us,\what I think of me – is everything to me.\\HEY GIRLS, HEY BOYS\It’s better just to live and learn\I TRY ALL THINGS – than just to sit and miss your turn.\And I’m – so sure – that even all my failures, too,\will build up and onto my strength,\GOING NOW!!\\In the convenient world where everything's always just as planned,\I went out on to search for some courage for me to depend on,\but even in that world, it’s not such an easy thing to find.\Should I give up?\\I haven’t even got in the ring yet–\Standing around, I’m just such a wimp.\\KICK OUT, BREAK OUT\All that you need is a feeling\I WON’T GIVE UP – then you can shout I can do it!\You don’t – have to – win up against anyone,\you just can’t lose to yourself! So\GOING NOW!!\\KICK OUT, BREAK OUT\There will be lots and lots of scars\I WON’T GIVE UP – that are a proof of your courage.\And I – who won’t – turn tail and run away will get\such a kick every time as I’m\GOING NOW!!\\So, hold my hands up and award me my belt!"
Fairytale (Cover)	りょ子	
WIND	KAT-TUN	
Aventure	ゆよゆっぺ	
UTAKATA	Speed	
Filth in the beauty	the GazettE	""
confusion	Sadie	""
Ikenai Taiyou	ORANGE RANGE	
Give Me Novacaine	Green Day	"Take away the sensation inside\Bitter sweet migraine in my head\It's like a throbbing tooth ache of the mind\I can't take this feeling anymore\\Drain the pressure from the swelling\This sensation's overwhelming\Give me a long kiss goodnight\And everything will be alright\Tell me that I won't feel a thing\So give me Novacaine\\Out of body and out of mind\Kiss the demons out of my dreams\I get the funny feeling, that's alright\Jimmy says it's better than here\I'll tell you why\\Drain the pressure from the swelling\This sensation's overwhelming\Give me a long kiss goodnight\And everything will be alright\Tell me that I won't feel a thing\So give me Novacaine\\Oh Novacaine\\\Drain the pressure from the swelling\This sensation's overwhelming\Give me a long kiss goodnight\And everything will be alright\Tell me Jimmy I won't feel a thing\So give me Novacaine"
secret	巡音ルカ	
DYE	巡音ルカ	
害虫	ヲタ姐	
「un-」	KAT-TUN	
Kamikaze	NoGoD	
Haru Haru	Bigbang	
I'm so happy	L'Arc~en~Ciel	" Right now I may look to you\Like I'm in a great deal of pain\But still, please don't kill me\Until I close my eyes for real\\Looks like it's time to pay up\You should do as you like with everything\But, ah, please don't be sad\No matter how crazy I look or how everyone laughs at me\\The flowers and water and light flow by\Words come to a halt and I sleep\More than the moon and the sea and the pain, ah\I miss you\\Something else just tore\Even walking is hard\But still, please don't kill me\I love you\\If someday I'm reborn, I want\To be closer to you than anyone else\\Your hair and your skin, I still want to touch them\Your eyes wet with tears\Your voice, your fingers, your smile, ah\All I think about is you\\I love you, I love you\I love you, I love you\I love you, I love you\I love you, I love you\I love you, I'm so happy with love\\Right now I may look to you\Like I'm in a great deal of pain\But still, please don't kill me\Until I close my eyes for real "
Retsu	DANGER☆GANG	
Pretty girl	L'Arc~en~Ciel	" I was seeing a dream where i was deeply in love\Everyting is raising Yeah!\Spread your legs, a glimpse of that scenery\This all is blinding me\\So, now the light is holding you\\Please! Don't be shy!\\Pretty girl pretty girl! Yeah!\Repeating from there to the top, Take it! Take it\Knock my door and break it down\Do what you like! So, you gatta feeling feeling\\But it always goes that far\Yes it always goes this far\\You start without thinking how far you'll go\So now where are we? Yeah!\Your swinging invitation, flirting like a butterfly\Let's hug, let's kiss!\\Till we see the morning sun! Just like that!\\Please! Don't be shy!\\Pretty girl pretty girl! Yeah!\The shining present repating, Take it! Take it\Our eyes met\Do what you like! So, you gatta feeling feeling\\But it always goes that far\Yes it always goes this far\\Just one more time\Just one more time\\Without even need to ask it never ends\Sticking to what I've already got would be boring\\So you are mine!\\Pretty girl pretty girl! Yeah!\The shining present repating, Take it! Take it\The way your eyes opened\Throughout your body you gatta feeling feeling\\But it always goes that far\Yes it always goes this far\When you open your eyes it's game over"
Blame	L'Arc~en~Ciel	""
Uzu	Kagrra,	
Ichirin no Hana	High And Mighty Color	"You are no one else but yourself; there’s no other replacement for you; so please don’t wilt, my single flower\\You’re just like the flower that bloomed in the shade where light doesn’t shine directly into\Having taken root at a place you couldn’t have wished for, you’re unable to move\\You should spill your feelings that almost closed up\\I’ll accept your pain, bitterness, and everything, so please don’t cry, but laugh, my single flower\\Even as you seem to wilt now, I want to see your innocent figure once more\\And I want to become your strength\\Because even when I make enemies out of all people besides you, I’ll still protect you to the end\\YOU SHOULD NOTICE THAT THERE IS NO OTHER\YOU SHOULD NOTICE THAT THERE IS NO NEXT TIME\YOU SHOULD NOTICE THAT THERE IS NO OTHER\YOU SHOULD NOTICE THAT THERE IS NO NEXT…\TIME NOTICE THAT YOU SHOULD NOTICE THAT\NOTICE THAT THERE’S NO OTHER\\You are no one else but yourself, even up to now and from this point on\Because even when I make enemies out of all people besides you, I’ll still protect you to the end\So please don’t lose, my single flower\\YOU SHOULD NOTICE THAT THERE IS NO OTHER\YOU SHOULD NOTICE THAT THERE IS NO NEXT TIME\YOU SHOULD NOTICE THAT THERE IS NO OTHER\YOU SHOULD NOTICE THAT THERE IS NO NEXT…\TIME NOTICE THAT YOU SHOULD NOTICE THAT\NOTICE THAT THERE’S NO OTHER"
Incoherents	Közi	
Grottesca	Közi	
Kaikou (Inst)	Közi	
Tsukiyo	Közi	
Stand by me	The Brilliant Green	
All the Things She Said	t.A.T.u.	"All the things she said, all the things she said\Runnin' through my head, runnin' through my head\Runnin' through my head\All the things she said, all the things she said\Runnin' through my head, runnin' through my head\All the things she said\This is not enough\\I'm in serious shit, I feel totally lost\If I'm asking for help, it's only because\Being with you has opened my eyes\Could I ever believe such a perfect surprise?\I keep asking myself, wondering how\I keep closing my eyes, but I can't block you out\Wanna fly to a place where it's just you and me\Nobody else, so we can be free\Nobody else, so we can be free\\All the things she said, all the things she said\Runnin' through my head, runnin' through my head\Runnin' through my head\All the things she said, all the things she said\Runnin' through my head, runnin' through my head\All the things she said\This is not enough\This is not enough\\All the things she said\All the things she said\All the things she said\All the things she said\All the things she said\All the things she said\All the things she said\\And I'm all mixed up, feeling cornered and rushed\They say it's my fault, but I want her so much\Wanna fly her away where the sun and rain\Come in over my face, wash away all the shame\When they stop and stare, don't worry me\'Cause I'm feeling for her what she's feeling for me\I can try to pretend, I can try to forget\But it's driving me mad, going out of my head\\All the things she said, all the things she said\Runnin' through my head, runnin' through my head\Runnin' through my head\All the things she said, all the things she said\Runnin' through my head, runnin' through my head\All the things she said\This is not enough\This is not enough\\All the things she said\All the things she said\All the things she said\All the things she said\All the things she said\All the things she said\All the things she said\All the things she said\Things she said\All the things she said\All the things she said\\Mother lookin' at me\Tell me, "what do you see?"\Yes, I've lost my mind\Daddy lookin' at me\Will I ever be free?\Have I crossed the line?\\All the things she said, all the things she said\Runnin' through my head, runnin' through my head\Runnin' through my head\All the things she said, all the things she said\Runnin' through my head, runnin' through my head\All the things she said\This is not enough\This is not enough\\All the things she said\All the things she said\All the things she said\All the things she said\All the things she said\All the things she said\All the things she said"
Only Human	K	
#1 (English Version)	자우림	
CHILD PREY	DIR EN GREY	"Dying a Child\Kiss me deadly\Kiss Me Kill Me Love Me\Kiss Me Kill Me Love Me\Hurry & May\Child Prey\The reasons why one can't laugh from the heart\It's a simple reason\That's life\Kiss me deadly\Kiss Me Kill Me Love Me\Kiss Me Kill Me Love Me\Child is Burning\Kiss me deadly\Kiss me deadly\Kiss Me Kill Me Love Me\Kiss Me Kill Me Love Me"
GLASS SKIN (English Version)	DIR EN GREY	
Vizard	Moi dix Mois	"Vice in vice vizard\Wail on desolate gale\The sorrow bring forth you\Deep wail and cry of true hearth and soul"
Kasou	L'Arc~en~Ciel	
